province,year,total_events
Adana,2021,1
Adana,2023,4
Adıyaman,2023,3
Afyonkarahisar,2023,3
Aksaray,2009,1
Aksaray,2020,1
Aksaray,2023,3
Amasya,2023,3
Ankara,2020,1
Ankara,2022,1
Ankara,2023,3
Antalya,2020,1
Antalya,2021,1
Antalya,2022,1
Antalya,2023,3
Ardahan,2023,3
Artvin,2021,1
Artvin,2023,3
Aydın,2023,3
Ağrı,2023,3
Balıkesir,2023,3
Bartın,2023,3
Batman,2023,4
Bayburt,2023,3
Bilecik,2023,3
Bingöl,2023,3
Bitlis,2011,1
Bitlis,2023,3
Bolu,2023,3
Burdur,2023,3
Bursa,2022,1
Bursa,2023,3
Denizli,2023,3
Diyarbakır,2023,3
Düzce,2023,3
Edirne,2023,3
Elazığ,2023,3
Erzincan,2023,3
Erzurum,2023,3
Eskişehir,2023,3
Gaziantep,2023,4
Giresun,2023,3
Gümüşhane,2023,3
Hakkari,2011,1
Hakkari,2023,3
Hatay,2023,5
Isparta,2023,3
Iğdır,2023,3
Kahramanmaraş,2023,3
Karabük,2023,3
Karaman,2023,3
Kars,2023,3
Kastamonu,2023,3
Kayseri,2023,3
Kilis,2023,4
Kocaeli,2023,3
Konya,2023,3
Kütahya,2023,3
Kırklareli,2023,3
Kırıkkale,2023,3
Kırşehir,2023,3
Malatya,2020,1
Malatya,2023,4
Manisa,2023,3
Mardin,2023,3
Mersin,2023,3
Muğla,2023,3
Muş,2023,3
Nevşehir,2023,3
Niğde,2023,3
Ordu,2023,3
Osmaniye,2021,1
Osmaniye,2023,4
Rize,2020,1
Rize,2021,1
Rize,2023,3
Sakarya,2022,1
Sakarya,2023,4
Samsun,2020,1
Samsun,2023,3
Siirt,2023,3
Sinop,2023,3
Sivas,2023,3
Tekirdağ,2023,3
Tokat,2023,3
Trabzon,2020,1
Trabzon,2023,3
Tunceli,2023,3
Uşak,2023,3
Van,2011,2
Van,2023,3
Yalova,2023,3
Yozgat,2022,1
Yozgat,2023,3
Zonguldak,2022,1
Zonguldak,2023,4
Çanakkale,2023,3
Çankırı,2023,3
Çorum,2023,3
İstanbul,2023,3
İzmir,2023,3
Şanlıurfa,2023,3
Şırnak,2023,3
